time(ms),power(W)
1746121080000,2973643
1746121200000,3783906
1746121320000,3831834
1746121440000,3850678
1746121560000,3828150
1746121680000,3853406
1746121800000,3845196
1746121920000,3888796
1746122040000,3907380
1746122160000,3845351
1746122280000,3795936
1746122400000,3639125
1746122520000,1785314
1746122640000,3852247
1746122760000,3853384
1746122880000,3853034
1746123000000,3824888
1746123120000,2843428
1746123240000,3801363
1746123360000,3825161
1746123480000,3797075
1746123600000,1798313
1746123720000,3865468
1746123840000,2540222
1746123960000,2491198
1746124080000,3811462
1746124200000,3793129
1746124320000,3815972
1746124440000,2442405
1746124560000,3848996
1746124680000,3783994
1746124800000,3797524
1746124920000,3781985
1746125040000,3836925
1746125160000,3789395
1746125280000,3754987
1746125400000,3878310
1746125520000,3841946
1746125640000,3874023
1746125760000,3785384
1746125880000,3858954
1746126000000,3829771
1746126120000,2474112
1746126240000,3888301
1746126360000,3156454
1746126480000,3819994
1746126600000,2861331
1746126720000,3786747
1746126840000,3811389
1746126960000,2817310
1746127080000,3798760
1746127200000,3807292
1746127320000,3723202
1746127440000,3783357
1746127560000,2874923
1746127680000,3846157
1746127800000,3880125
1746127920000,2840964
1746128040000,3827470
1746128160000,3853268
1746128280000,3782590
1746128400000,3822524
1746128520000,3011701
1746128640000,3853100
1746128760000,2921695
1746128880000,3861473
1746129000000,3812555
1746129120000,3805722
1746129240000,3876208
1746129360000,3856837
1746129480000,2503670
1746129600000,3864914
1746129720000,3867571
1746129840000,3883416
1746129960000,3931528
1746130080000,3906193
1746130200000,3865243
1746130320000,3840761
1746130440000,3832642
1746130560000,3826065
1746130680000,3807806
1746130800000,3830117
1746130920000,3898583
1746131040000,3875018
1746131160000,3849978
1746131280000,3876350
1746131400000,3904747
1746131520000,3827119
1746131640000,3905652
1746131760000,3907923
1746131880000,2991083
1746132000000,3899738
1746132120000,3913682
1746132240000,2508401
1746132360000,2856833
1746132480000,3834899
1746132600000,3878344
1746132720000,3840883
1746132840000,3861545
1746132960000,3848236
1746133080000,3819371
1746133200000,3932420
1746133320000,3834789
1746133440000,3966174
1746133560000,2979002
1746133680000,3961695
1746133800000,4011503
1746133920000,2996324
1746134040000,3976238
1746134160000,3982093
1746134280000,4043280
1746134400000,4028454
1746134520000,4003660
1746134640000,3927669
1746134760000,3828080
1746134880000,3907884
1746135000000,3897092
1746135120000,3718103
1746135240000,3795899
1746135360000,2811926
1746135480000,3865868
1746135600000,3877931
1746135720000,3166402
1746135840000,3156583
1746135960000,3851517
1746136080000,2470680
1746136200000,3843324
1746136320000,3821683
1746136440000,3869754
1746136560000,3881408
1746136680000,2914935
1746136800000,3908613
1746136920000,3896032
1746137040000,3955244
1746137160000,3923228
1746137280000,3898223
1746137400000,3866983
1746137520000,3867208
1746137640000,3915953
1746137760000,3909771
1746137880000,3882390
1746138000000,4048107
1746138120000,3954553
1746138240000,3925858
1746138360000,3877035
1746138480000,3928143
1746138600000,3845123
1746138720000,3887262
1746138840000,3855403
1746138960000,2553938
1746139080000,3876824
1746139200000,3872294
